Team,Gms,Num,Yds,Avg,Lg,TD,Yds/G
Arizona Cardinals,16,32,770,24.06,108t,1,48.1
Atlanta Falcons,16,26,667,25.65,50,0,41.7
Baltimore Ravens,16,34,857,25.21,50,0,53.6
Buffalo Bills,16,41,772,18.83,32,0,48.2
Carolina Panthers,16,22,407,18.5,33,0,25.4
Chicago Bears,16,33,892,27.03,74,0,55.8
Cincinnati Bengals,16,34,700,20.59,58,0,43.8
Cleveland Browns,16,41,1041,25.39,53,0,65.1
Dallas Cowboys,16,28,704,25.14,79,0,44
Denver Broncos,16,27,588,21.78,41,0,36.8
Detroit Lions,16,44,1220,27.73,104,0,76.2
Green Bay Packers,16,36,881,24.47,70,0,55.1
Houston Texans,16,18,430,23.89,41,0,26.9
Indianapolis Colts,16,43,1047,24.35,60,0,65.4
Jacksonville Jaguars,16,31,721,23.26,42,0,45.1
Kansas City Chiefs,16,35,791,22.6,54,0,49.4
Miami Dolphins,16,43,958,22.28,50,0,59.9
Minnesota Vikings,16,42,1190,28.33,101t,2,74.4
New England Patriots,16,25,469,18.76,75,0,29.3
New Orleans Saints,16,28,605,21.61,38,0,37.8
New York Giants,16,39,971,24.9,100t,1,60.7
New York Jets,16,37,771,20.84,54,0,48.2
Oakland Raiders,16,53,1268,23.92,70,0,79.2
Philadelphia Eagles,16,27,565,20.93,49,0,35.3
Pittsburgh Steelers,16,29,701,24.17,38,0,43.8
San Diego Chargers,16,28,583,20.82,34,0,36.4
San Francisco 49ers,16,42,993,23.64,40,0,62.1
Seattle Seahawks,16,34,868,25.53,105t,1,54.2
St. Louis Rams,16,34,830,24.41,102,0,51.9
Tampa Bay Buccaneers,16,21,506,24.1,38,0,31.6
Tennessee Titans,16,33,680,20.61,34,0,42.5
Washington Redskins,16,40,999,24.98,101t,2,62.4
