Team,Gms,Att,Cmp,Pct,Yds,YPA,TD,Int,Sack,Loss,Rate,NetYds,Yds/G
Arizona Cardinals,16,598,339,56.7,3979,6.65,21,18,52,339,76.2,3640,227.5
Atlanta Falcons,16,530,343,64.7,4146,7.82,21,12,24,156,92.4,3990,249.4
Baltimore Ravens,16,567,363,64,3235,5.71,20,13,27,205,81.4,3030,189.4
Buffalo Bills,16,476,289,60.7,3086,6.48,16,10,47,261,82.1,2825,176.6
Carolina Panthers,16,501,293,58.5,3319,6.62,22,16,35,242,79.8,3077,192.3
Chicago Bears,16,473,291,61.5,3085,6.52,13,12,39,274,79.1,2811,175.7
Cincinnati Bengals,16,510,304,59.6,3386,6.64,25,12,40,264,86,3122,195.1
Cleveland Browns,16,574,312,54.4,3537,6.16,15,28,50,309,61.4,3228,201.8
Dallas Cowboys,16,493,309,62.7,3326,6.75,22,13,32,185,86.3,3141,196.3
Denver Broncos,16,566,332,58.7,3668,6.48,19,22,52,335,73,3333,208.3
Detroit Lions,16,570,374,65.6,4470,7.84,29,11,47,287,98.4,4183,261.4
Green Bay Packers,16,562,352,62.6,3532,6.28,25,18,51,365,81.9,3167,197.9
Houston Texans,16,525,299,57,3644,6.94,28,17,54,366,82.8,3278,204.9
Indianapolis Colts,16,487,285,58.5,3226,6.62,13,9,56,334,79.7,2892,180.8
Jacksonville Jaguars,16,527,316,60,3716,7.05,21,13,24,123,84.4,3593,224.6
Kansas City Chiefs,16,543,363,66.9,4326,7.97,26,8,37,222,100.8,4104,256.5
Los Angeles Chargers,16,583,366,62.8,4551,7.81,28,11,18,120,95.1,4431,276.9
Los Angeles Rams,16,518,320,61.8,4023,7.77,28,7,28,192,98.3,3831,239.4
Miami Dolphins,16,602,373,62,3792,6.3,24,21,33,257,78.7,3535,220.9
Minnesota Vikings,16,527,357,67.7,3929,7.46,25,8,27,176,99.1,3753,234.6
New England Patriots,16,587,389,66.3,4619,7.87,32,8,35,201,102.6,4418,276.1
New Orleans Saints,16,536,386,72,4334,8.09,23,8,20,145,103.9,4189,261.8
New York Giants,16,608,373,61.3,3680,6.05,20,14,34,201,79.8,3479,217.4
New York Jets,16,510,323,63.3,3501,6.86,19,12,47,319,86.1,3182,198.9
Oakland Raiders,16,558,347,62.2,3761,6.74,23,14,24,130,85.3,3631,226.9
Philadelphia Eagles,16,564,341,60.5,3967,7.03,38,9,36,230,97.6,3737,233.6
Pittsburgh Steelers,16,590,384,65.1,4534,7.68,29,15,24,154,94.1,4380,273.8
San Francisco 49ers,16,607,362,59.6,4235,6.98,15,15,43,310,78.8,3925,245.3
Seattle Seahawks,16,555,340,61.3,3979,7.17,34,12,43,322,94.4,3657,228.6
Tampa Bay Buccaneers,16,605,378,62.5,4607,7.61,26,14,40,241,90.6,4366,272.9
Tennessee Titans,16,496,306,61.7,3394,6.84,14,17,35,203,77.1,3191,199.4
Washington Redskins,16,540,347,64.3,4093,7.58,27,13,41,342,93.9,3751,234.4
