Team,Gms,Num,Yds,Avg,FC,Lg,TD,Yds/G
Arizona Cardinals,16,41,288,7.02,30,20,0,18
Atlanta Falcons,16,27,201,7.44,21,27,0,12.6
Baltimore Ravens,16,32,322,10.06,27,77t,1,20.1
Buffalo Bills,16,24,213,8.88,13,40,0,13.3
Carolina Panthers,16,40,318,7.95,17,60t,1,19.9
Chicago Bears,16,32,337,10.53,16,61t,2,21.1
Cincinnati Bengals,16,47,409,8.7,19,40,0,25.6
Cleveland Browns,16,38,221,5.82,19,25,0,13.8
Dallas Cowboys,16,31,275,8.87,15,83t,1,17.2
Denver Broncos,16,41,351,8.56,22,44,0,21.9
Detroit Lions,16,37,517,13.97,22,88t,2,32.3
Green Bay Packers,16,27,289,10.7,22,65,0,18.1
Houston Texans,16,35,296,8.46,20,49,0,18.5
Indianapolis Colts,16,27,162,6,13,30,0,10.1
Jacksonville Jaguars,16,34,325,9.56,30,72,1,20.3
Kansas City Chiefs,16,35,220,6.29,10,82t,1,13.8
Los Angeles Chargers,16,28,259,9.25,26,65t,1,16.2
Los Angeles Rams,16,45,458,10.18,11,53,0,28.6
Miami Dolphins,16,37,271,7.32,14,27,0,16.9
Minnesota Vikings,16,39,372,9.54,26,46,0,23.2
New England Patriots,16,32,263,8.22,21,40,0,16.4
New Orleans Saints,16,34,218,6.41,23,24,0,13.6
New York Giants,16,27,148,5.48,23,20,0,9.2
New York Jets,16,38,171,4.5,22,25,0,10.7
Oakland Raiders,16,27,155,5.74,21,19,0,9.7
Philadelphia Eagles,16,29,259,8.93,20,76,0,16.2
Pittsburgh Steelers,16,30,207,6.9,20,27,0,12.9
San Francisco 49ers,16,34,304,8.94,17,39,0,19
Seattle Seahawks,16,36,237,6.58,21,27,0,14.8
Tampa Bay Buccaneers,16,20,192,9.6,14,44,0,12
Tennessee Titans,16,36,305,8.47,9,46,0,19.1
Washington Redskins,16,29,178,6.14,22,29,0,11.1
