Team,Gms,Rushing Attempts,Rushing Yards,Rushing Average,Rushing Touchdowns,FD,Rushing Yards Per Game
Arizona Cardinals,16,396,1990,5.03,18,109,124.4
Atlanta Falcons,16,362,1361,3.76,10,84,85.1
Baltimore Ravens,16,596,3296,5.53,21,188,206
Buffalo Bills,16,465,2054,4.42,13,120,128.4
Carolina Panthers,16,386,1819,4.71,20,82,113.7
Chicago Bears,16,395,1458,3.69,8,85,91.1
Cincinnati Bengals,16,385,1517,3.94,9,85,94.8
Cleveland Browns,16,393,1901,4.84,15,90,118.8
Dallas Cowboys,16,449,2153,4.8,18,120,134.6
Denver Broncos,16,409,1662,4.06,11,77,103.9
Detroit Lions,16,407,1649,4.05,7,82,103.1
Green Bay Packers,16,411,1795,4.37,18,90,112.2
Houston Texans,16,434,2009,4.63,17,112,125.6
Indianapolis Colts,16,471,2130,4.52,17,131,133.1
Jacksonville Jaguars,16,389,1708,4.39,3,85,106.8
Kansas City Chiefs,16,375,1569,4.18,16,93,98.1
Los Angeles Chargers,16,366,1453,3.97,12,90,90.8
Los Angeles Rams,16,401,1499,3.74,20,92,93.7
Miami Dolphins,16,349,1156,3.31,10,64,72.2
Minnesota Vikings,16,476,2133,4.48,19,106,133.3
New England Patriots,16,447,1703,3.81,17,110,106.4
New Orleans Saints,16,405,1738,4.29,12,97,108.6
New York Giants,16,362,1685,4.65,11,89,105.3
New York Jets,16,383,1257,3.28,6,61,78.6
Oakland Raiders,16,437,1893,4.33,13,104,118.3
Philadelphia Eagles,16,454,1939,4.27,16,104,121.2
Pittsburgh Steelers,16,395,1447,3.66,7,75,90.4
San Francisco 49ers,16,498,2305,4.63,23,110,144.1
Seattle Seahawks,16,481,2200,4.57,15,121,137.5
Tampa Bay Buccaneers,16,409,1521,3.72,15,81,95.1
Tennessee Titans,16,445,2223,5,21,104,138.9
Washington Redskins,16,356,1583,4.45,9,74,98.9
